player_id,player_name,statsapi_name,position,height_raw,height_in,ff_pitch_count,fastball_velocity_mph,extension_ft
666659,"Lao, Sauryn",Sauryn Lao,Pitcher,"6' 2""",74.0,55,92.8,6.26
622663,"Severino, Luis",Luis Severino,Pitcher,"6' 2""",74.0,766,96.1,6.25
699134,"Rodriguez, Bradgley",Bradgley Rodriguez,Pitcher,"6' 1""",73.0,52,98.3,6.25
686642,"Ellard, Fraser",Fraser Ellard,Pitcher,"6' 3""",75.0,168,94.9,6.25
663372,"Feltner, Ryan",Ryan Feltner,Pitcher,"6' 4""",76.0,174,93.6,6.25
606965,"Devenski, Chris",Chris Devenski,Pitcher,"6' 3""",75.0,56,92.4,6.25
642232,"Yarbrough, Ryan",Ryan Yarbrough,Pitcher,"6' 5""",77.0,141,88.3,6.25
693855,"Seymour, Ian",Ian Seymour,Pitcher,"6' 0""",72.0,317,91.6,6.25
678024,"Vasil, Mike",Mike Vasil,Pitcher,"6' 5""",77.0,231,94.6,6.25
657424,"Gage, Matt",Matt Gage,Pitcher,"6' 4""",76.0,146,92.5,6.25
674944,"Guenther, Sean",Sean Guenther,Pitcher,"5' 11""",71.0,4,90.3,6.25
696147,"Bachman, Sam",Sam Bachman,Pitcher,"6' 1""",73.0,6,96.3,6.25
453286,"Scherzer, Max",Max Scherzer,Pitcher,"6' 3""",75.0,674,93.6,6.24
686930,"Barnett, Mason",Mason Barnett,Pitcher,"6' 0""",72.0,230,94.3,6.24
663767,"Shugart, Chase",Chase Shugart,Pitcher,"5' 11""",71.0,128,95.4,6.24
669704,"Strowd, Kade",Kade Strowd,Pitcher,"6' 2""",74.0,74,95.8,6.24
608372,"Sugano, Tomoyuki",Tomoyuki Sugano,Pitcher,"6' 1""",73.0,485,92.7,6.23
701487,"Ohl, Pierson",Pierson Ohl,Pitcher,"6' 1""",73.0,238,91.9,6.23
669438,"Englert, Mason",Mason Englert,Pitcher,"6' 4""",76.0,143,93.9,6.23
700187,"Taylor, Troy",Troy Taylor,Pitcher,"6' 0""",72.0,64,96.4,6.23
664199,"Clarke, Taylor",Taylor Clarke,Pitcher,"6' 3""",75.0,189,94.8,6.23
621381,"Strahm, Matt",Matt Strahm,Pitcher,"6' 2""",74.0,373,92.3,6.22
701519,"Adams, Travis",Travis Adams,Pitcher,"6' 1""",73.0,195,94.8,6.22
622786,"Tinoco, Jesus",Jesus Tinoco,Pitcher,"6' 4""",76.0,31,95.2,6.22
681151,"Murray, Jayden",Jayden Murray,Pitcher,"6' 1""",73.0,83,96.2,6.22
656945,"Scott, Tanner",Tanner Scott,Pitcher,"6' 0""",72.0,479,96.5,6.22
573204,"Thielbar, Caleb",Caleb Thielbar,Pitcher,"6' 0""",72.0,351,92.8,6.22
541640,"Ramírez, Erasmo",Erasmo Ramírez,Pitcher,"6' 0""",72.0,10,90.0,6.22
647336,"Soroka, Michael",Michael Soroka,Pitcher,"6' 5""",77.0,694,93.6,6.21
571945,"Mikolas, Miles",Miles Mikolas,Pitcher,"6' 4""",76.0,687,93.0,6.21
641302,"Alexander, Tyler",Tyler Alexander,Pitcher,"6' 1""",73.0,414,90.8,6.21
664991,"Wolfram, Grant",Grant Wolfram,Pitcher,"6' 7""",79.0,79,95.5,6.21
663423,"Thornton, Trent",Trent Thornton,Pitcher,"6' 0""",72.0,217,94.4,6.21
661395,"Duran, Jhoan",Jhoan Duran,Pitcher,"6' 5""",77.0,377,100.6,6.21
640451,"Harvey, Hunter",Hunter Harvey,Pitcher,"6' 3""",75.0,89,96.1,6.21
700249,"Povich, Cade",Cade Povich,Pitcher,"6' 3""",75.0,733,92.2,6.21
690544,"Horn, Bailey",Bailey Horn,Pitcher,"6' 2""",74.0,73,95.5,6.21
685299,"Gordon, Tanner",Tanner Gordon,Pitcher,"6' 5""",77.0,657,92.3,6.2
606160,"Montero, Rafael",Rafael Montero,Pitcher,"6' 0""",72.0,442,95.1,6.2
624133,"Suarez, Ranger",Ranger Suarez,Pitcher,"6' 1""",73.0,352,91.3,6.2
663804,"Kowar, Jackson",Jackson Kowar,Pitcher,"6' 5""",77.0,162,97.3,6.19
686563,"Cannon, Jonathan",Jonathan Cannon,Pitcher,"6' 6""",78.0,325,93.8,6.19
696136,"Wicks, Jordan",Jordan Wicks,Pitcher,"6' 3""",75.0,86,94.4,6.19
621053,"Ferguson, Tyler",Tyler Ferguson,Pitcher,"6' 4""",76.0,380,94.8,6.19
684007,"Imanaga, Shota",Shota Imanaga,Pitcher,"5' 10""",70.0,1059,90.8,6.19
687209,"Maxwell, Zach",Zach Maxwell,Pitcher,"6' 6""",78.0,94,99.7,6.19
702795,"Loutos, Ryan",Ryan Loutos,Pitcher,"6' 5""",77.0,107,95.4,6.19
623167,"Flexen, Chris",Chris Flexen,Pitcher,"6' 3""",75.0,277,92.4,6.19
690990,"Horton, Cade",Cade Horton,Pitcher,"6' 1""",73.0,899,95.7,6.19
669276,"Lee, Dylan",Dylan Lee,Pitcher,"6' 3""",75.0,344,94.1,6.19
607455,"Banda, Anthony",Anthony Banda,Pitcher,"6' 2""",74.0,249,95.9,6.19
628452,"Iglesias, Raisel",Raisel Iglesias,Pitcher,"6' 2""",74.0,387,94.9,6.18
623433,"Anderson, Nick",Nick Anderson,Pitcher,"6' 4""",76.0,116,95.2,6.18
681751,"Estrada, Lazaro",Lazaro Estrada,Pitcher,"5' 10""",70.0,58,93.7,6.18
701552,"Granillo, Andre",Andre Granillo,Pitcher,"6' 4""",76.0,102,94.6,6.18
622379,"Castillo, Luis F.",Luis F. Castillo,Pitcher,"6' 3""",75.0,77,92.2,6.18
681190,"Vásquez, Randy",Randy Vásquez,Pitcher,"6' 0""",72.0,452,93.5,6.17
