session_pitch,fp_mer_duration_s,fp_mer_positive_energy_j,fp_mer_net_energy_j,fp_mer_positive_mean_power_w,fp_mer_negative_energy_j,fp_br_duration_s,fp_br_positive_energy_j,fp_br_net_energy_j,fp_br_positive_mean_power_w,fp_br_negative_energy_j,mer_share_of_fp_br,official_fp_br_j,session,session_mass_kg
2653_1,0.10270000000000001,278.76224736500006,278.76224736500006,2714.3354173807206,0.0,0.13050000000000006,308.8701819499999,308.6998431099999,2366.8213176245195,0.17033883999999944,0.9025223658855042,308.6862,2653,77.112
2653_2,0.09719999999999995,285.9616869500001,285.9616869500001,2941.992664094653,0.0,0.1277999999999999,316.59376269000006,316.2768745100001,2477.259488967138,0.3168881799999781,0.9032448539739741,316.5938,2653,77.112
2653_3,0.09719999999999995,291.3466184299998,291.3466184299998,2997.393193724279,0.0,0.125,328.08118193499996,327.91945491499996,2624.6494554799997,0.16172702000000072,0.8880320922756305,327.8291,2653,77.112
2653_4,0.10830000000000006,278.09846255500014,277.9795707050001,2567.8528398430285,0.11889185000001135,0.1361000000000001,307.4401623800001,307.1150537500001,2258.9284524614245,0.3251086300000452,0.9045612661733725,307.3103,2653,77.112
2653_5,0.10000000000000009,291.99536808500005,291.99536808500005,2919.953680849998,0.0,0.12780000000000014,328.1655234399999,328.0406908999999,2567.805347730826,0.12483253999999988,0.8897807576620308,327.8189,2653,77.112
2655_1,0.09999999999999987,315.0288711549998,315.0288711549998,3150.2887115500025,0.0,0.13060000000000005,322.80399732,309.0080669299999,2471.6998263399687,13.79593039000008,0.9759137859829765,322.804,2655,94.3488
2655_2,0.08889999999999998,322.70806672,322.70806672,3630.011999100113,0.0,0.12219999999999986,331.0937717949998,307.6541638549998,2709.441667716859,23.439607939999973,0.9746727187601949,331.0938,2655,94.3488
2655_3,0.09440000000000004,321.25875234500006,321.25875234500006,3403.164749417372,0.0,0.125,325.36766706000003,299.402060375,2602.9413364800002,25.96560668500001,0.9873714719347259,325.3677,2655,94.3488
2655_4,0.10549999999999993,331.76458665,331.76458665,3144.6880251184857,0.0,0.1360999999999999,337.66297098,318.92409747,2480.991704482001,18.73887351000002,0.9825317407091423,337.663,2655,94.3488
2655_5,0.08610000000000007,305.2970438350001,305.2970438350001,3545.8425532520314,0.0,0.11939999999999995,313.49180631000013,293.4317620650001,2625.559516834173,20.06004424500003,0.973859723571542,313.4139,2655,94.3488
2730_1,0.09999999999999987,288.7544601649997,288.7544601649997,2887.544601650001,0.0,0.13059999999999983,309.8776235449999,277.3019243350001,2372.7229980474754,32.57569920999981,0.931833853834455,309.8776,2730,89.8128
2730_2,0.12219999999999986,307.18334393999965,307.18334393999965,2513.7753186579375,0.0,0.15270000000000006,324.4508284699999,294.0494308699998,2124.759845907006,30.40139760000011,0.9467793483178086,324.4508,2730,89.8128
2730_3,0.09719999999999995,290.34616707499987,290.34616707499987,2987.1004843107,0.0,0.13050000000000006,319.3906285899999,291.30922754499966,2447.437766973178,28.081401045000234,0.9090628875267213,319.3906,2730,89.8128
2730_5,0.10549999999999993,298.41279981499997,298.41279981499997,2828.557344218011,0.0,0.1360999999999999,318.3982909549999,289.675747895,2339.443724871419,28.722543059999907,0.9372311607576295,318.3983,2730,89.8128
2734_1,0.12769999999999992,307.48142954499997,297.79904507,2407.8420481205962,9.682384474999992,0.15829999999999989,322.6382876750001,300.1016320800001,2038.1445841756179,22.536655594999957,0.9530221343560195,322.6383,2734,87.9984
2734_2,0.1333000000000002,308.37566806500024,291.59711861500017,2313.3958594523615,16.77854945000007,0.16670000000000007,330.83619067,307.092389305,1984.620219976004,23.743801365000024,0.9321098379245832,330.8362,2734,87.9984
2734_3,0.13329999999999997,296.96657038000023,283.5810311350002,2227.806229407354,13.385539245000018,0.16379999999999995,318.09241560500004,297.2930534,1941.956139224665,20.799362205000023,0.9335858254123437,318.0924,2734,87.9984
2734_4,0.125,311.23892082500004,299.3303715200001,2489.9113666000003,11.908549304999951,0.15549999999999997,328.68673313499994,307.884340675,2113.7410490996785,20.802392459999965,0.9469165909326993,328.6867,2734,87.9984
