session_pitch,fp_mer_duration_s,positive_total_j,gated_stp_j,gated_jfp_j,conservation_error_j,stp_positive_j,stp_negative_j,jfp_positive_j,jfp_negative_j,mean_force_n,mean_shoulder_jc_speed_m_s,mean_force_velocity_alignment,official_jfp_vs_force_velocity_r,official_jfp_force_velocity_mae_w,thorax_limited_fraction,arm_limited_fraction,max_torso_rotational_velo,max_rotation_hip_shoulder_separation,rotation_hip_shoulder_separation_fp,session,session_mass_kg
2812_5,0.12780000000000014,251.20078183000004,71.377151005,179.823630825,2.842170943040401e-14,71.377151005,0.0,180.57165082500006,-0.7480200000000112,428.3030970621927,4.948971608710066,-0.3298448533439432,-0.8071309892520998,2379.0258191425646,0.30434782608695654,0.6956521739130435,1020.5324,37.1323,35.3099,2812,76.2048
2815_1,0.10840000000000005,393.5848943650001,155.04925188000004,238.53564248500004,0.0,155.04925188000004,0.0,238.53564248500004,0.0,518.352210339229,4.811519768505041,-0.39093065822482925,-0.8980462899735868,3281.2190441321263,0.5,0.5,978.3064,27.5379,22.1633,2815,97.0704
2815_2,0.13050000000000006,419.6338264799997,174.7117303249999,244.92209615499985,-5.684341886080802e-14,174.7117303249999,0.0,246.33290735499986,-1.4108112000000284,498.86618212947707,4.58040203603406,-0.37812245837638797,-0.883629042745464,2962.0110751680004,0.5,0.5,976.2037,27.6876,26.8032,2815,97.0704
2815_3,0.1361000000000001,423.6494259250003,179.68365446500013,243.96577146000007,8.526512829121202e-14,179.68365446500013,0.0,244.7769338450001,-0.81116238500001,492.62991719099153,4.660246016640365,-0.3672941732344757,-0.7898179118252839,2931.7114380952385,0.38,0.62,963.9791,28.1775,26.495,2815,97.0704
2815_4,0.10000000000000009,391.71424268000015,160.55748438500007,231.15675829500006,2.842170943040401e-14,160.55748438500007,0.0,231.15675829500006,0.0,551.6511038133139,4.930804400015261,-0.39396994863680207,-0.7709054004875137,3516.101719412465,0.6216216216216216,0.3783783783783784,957.9308,24.986,19.3155,2815,97.0704
2815_5,0.10840000000000005,408.2777538250002,167.0670432500001,241.21071057500012,0.0,167.0670432500001,0.0,241.21071057500012,0.0,551.6966572678906,4.871938231800925,-0.43304648084438957,-0.7611363096721968,3530.3368492240247,0.475,0.525,986.7507,26.9453,20.5579,2815,97.0704
2818_1,0.09170000000000011,328.5711816050002,156.64216510500015,171.92901650000007,0.0,156.64216510500015,0.0,171.92901650000007,0.0,649.354507512134,4.123409972133833,-0.6991668121617995,-0.5106280299675504,3789.912744330594,0.5882352941176471,0.4117647058823529,955.8972,30.4853,24.3392,2818,96.1632
2818_2,0.09170000000000011,327.8216771750002,154.13519284500015,173.68648433000004,2.842170943040401e-14,154.13519284500015,0.0,173.68648433000004,0.0,674.0245414792552,4.254183774693391,-0.6845872187684987,-0.24183605056546187,3907.677849548249,0.6176470588235294,0.38235294117647056,929.5827,32.155,24.4051,2818,96.1632
2818_3,0.09170000000000011,332.28639032000024,157.98131629500014,174.30507402500007,2.842170943040401e-14,157.98131629500014,0.0,174.30507402500007,0.0,672.6573441047083,4.180964478075548,-0.655729720775251,-0.47616139052106965,3790.569238017181,0.6176470588235294,0.38235294117647056,938.8508,31.9776,24.6582,2818,96.1632
2818_4,0.09719999999999995,333.94491045999996,152.87960774999996,181.06530271,0.0,152.87960774999996,0.0,181.06530271,0.0,665.9038384797891,4.304081116395697,-0.6536644364901233,-0.5389998508043995,3846.911811582926,0.5277777777777778,0.4722222222222222,973.0834,33.5466,26.8123,2818,96.1632
