session,session_mass_kg,pitch_n,fp_mer_duration_s,positive_total_j,gated_stp_j,gated_jfp_j,conservation_error_j,stp_positive_j,stp_negative_j,jfp_positive_j,jfp_negative_j,mean_force_n,mean_shoulder_jc_speed_m_s,mean_force_velocity_alignment,official_jfp_vs_force_velocity_r,official_jfp_force_velocity_mae_w,thorax_limited_fraction,arm_limited_fraction,max_torso_rotational_velo,max_rotation_hip_shoulder_separation,rotation_hip_shoulder_separation_fp
2853,89.3592,4,0.12087500000000001,293.63466709249997,129.0038780575,164.63078903500002,0.0,129.0038780575,0.0,165.28019536125,-0.6494063262499994,531.6044935193679,4.658319523094342,-0.5066041680602453,-0.5681817131746385,3063.2184967431067,0.5619128212213318,0.43808717877866815,991.6294,27.778575,27.07195
2857,69.4008,5,0.1061,204.97127474799996,104.37567145199996,100.59560329599998,1.1368683772161604e-14,104.37567145199996,0.0,100.59560329599998,0.0,375.8350999803916,4.27760914762541,-0.7137837970929826,-0.7913304591961147,2095.9765339272017,0.1345319902701161,0.865468009729884,905.27964,40.30428,39.55428
2859,93.8952,5,0.11054000000000004,386.9204859690002,159.3281813150001,227.5923046540001,-1.7053025658242404e-14,159.3281813150001,0.0,227.5923046540001,0.0,597.8203986918248,4.466523920009257,-0.5317166750456799,-0.6733136050114868,3531.322314853799,0.4085066463524236,0.5914933536475764,1038.36888,35.71014,34.685
2860,78.9264,4,0.08127499999999999,276.00383040625,136.0303711475,139.97345925875,1.4210854715202004e-14,136.0303711475,0.0,139.97345925875,0.0,576.7812266978735,4.1094906387644485,-0.6502246182235301,-0.7414094479711569,3222.366550029316,0.40483870967741936,0.5951612903225807,1364.847875,33.679125,29.258375
2861,82.5552,5,0.09556,292.73195064300006,151.74684143800002,140.98510920500001,5.684341886080802e-15,151.74684143800002,0.0,142.76011257700003,-1.775003371999991,572.2683354171747,4.895447805819577,-0.4825364702683384,-0.6478512984070586,3225.252665220799,0.28672906672906673,0.7132709332709333,1058.33802,49.5972,46.88612
2865,87.5448,5,0.12110000000000003,338.061342149,174.81457823499997,163.24676391399998,-5.684341886080802e-15,174.81457823499997,0.0,172.16125802899998,-8.914494115000002,624.8424252880599,4.046018990461005,-0.25358121360391395,-0.7577043079237824,2751.9556401418586,0.5858202333059808,0.41417976669401924,1017.30212,36.90176,36.24894
2882,88.9056,4,0.09305000000000002,279.67046132124995,125.24243814124998,154.42802318,-1.4210854715202004e-14,125.24243814124998,0.0,154.42802318,0.0,441.45887081378453,4.445705587839476,-0.24271238289845087,0.6345856601195154,2049.4184527989773,0.261805128992629,0.738194871007371,930.0282,31.18855,30.9424
2889,111.132,5,0.11276000000000005,351.537295082,166.06934689700006,185.467948185,-1.1368683772161604e-14,166.06934689700006,0.0,185.467948185,0.0,638.7977194272271,4.33777975860538,-0.5805898509875805,-0.5801869702756601,3407.1899029684255,0.7799284861977044,0.22007151380229567,877.85432,26.565819999999995,26.42942
2891,113.8536,5,0.11613999999999995,461.991192408,192.87523526200002,269.11595714599997,0.0,192.87523526200002,0.0,269.11595714599997,0.0,792.3373000593483,4.686539606589028,-0.8001624095729453,-0.7330474482059441,5425.1094199823865,0.18854783571669315,0.8114521642833068,1151.4446599999999,41.52876,38.79596
2905,99.3384,5,0.09836,372.917633302,146.39773576399998,226.51989753800004,-2.2737367544323207e-14,146.39773576399998,0.0,226.51989753800004,0.0,677.3264969925245,5.145815389615327,-0.13153950118050706,0.10098657737107271,3061.205844719069,0.5700983779002355,0.4299016220997645,992.7429599999999,37.18976,31.112599999999997
2907,82.5552,5,0.10221999999999994,261.1584280479999,124.04918631899996,137.10924172899996,-1.1368683772161604e-14,124.04918631899996,0.0,137.10924172899996,0.0,454.8102501256536,4.306770741153053,-0.7899823868942238,-0.5037243347505922,2937.3137554782656,0.22186621795094194,0.7781337820490581,1121.75584,28.380239999999997,28.29706
2916,86.6376,5,0.10835999999999998,339.82823335499995,203.627033306,136.201200049,2.842170943040401e-14,203.627033306,0.0,140.886530704,-4.685330654999995,660.3510883782268,3.904580742634895,-0.5327782832352245,-0.8759127579170846,3080.5835293583827,0.4295809881175735,0.5704190118824265,1260.1317800000002,37.09078,36.3261
2918,100.2456,5,0.10776000000000005,388.4420902850002,168.9537447930001,219.4883454920001,0.0,168.9537447930001,0.0,219.8080705250001,-0.3197250329999996,663.598796832564,4.711702961173023,-0.5705133993192073,-0.8175633774460502,4286.596785128981,0.35201063164477797,0.647989368355222,1012.75174,30.566899999999997,30.06966
2919,84.8232,5,0.11833999999999997,286.60742469599995,148.325304118,138.28212057800002,-1.7053025658242404e-14,148.325304118,0.0,138.335207411,-0.05308683299999857,445.2112145992869,4.501762077604661,-0.6054708198488032,-0.49128569264173744,2546.690499600739,0.7466495082268592,0.2533504917731409,971.40366,28.942619999999998,27.557139999999997
2923,73.4832,5,0.09885999999999999,209.810111301,129.95365910900003,79.85645219199998,5.684341886080802e-15,129.95365910900003,0.0,81.36773039699999,-1.5112782050000146,471.33773041805017,3.9360026094324376,-0.6099926903063908,-0.357909450685295,2062.5513086387173,0.10490505543137121,0.8950949445686287,1084.4181199999998,21.70534,21.2151
2926,80.7408,4,0.10902500000000004,287.36476801250006,162.43475654250005,124.93001146999997,3.907985046680551e-14,162.43475654250005,0.0,128.696114715,-3.766103245000016,554.764695791509,4.4244804605133465,-0.10580088081798217,-0.19529865325016882,1834.5977294424163,0.6442838515206937,0.3557161484793064,1113.189525,31.462025000000004,30.5905
2927,79.8336,5,0.1016599999999999,297.23511138499987,131.13720316299992,166.09790822199994,-2.842170943040401e-14,131.13720316299992,0.0,168.55905399099996,-2.461145768999992,551.229336937521,4.463121393035179,-0.5076768670006673,-0.7853275675508102,3120.6343846337504,0.4216809000022773,0.5783190999977227,1197.88098,25.539839999999998,23.40902
2935,90.72,5,0.08392,309.2706871330001,137.66835878,171.60232835300002,5.1159076974727215e-14,137.66835878,0.0,172.527254422,-0.9249260689999801,697.3241951780597,5.159562236954721,-0.8514409379417632,0.23113473958246514,5049.214634781247,0.30800452884157,0.69199547115843,1003.13856,33.33212,32.03066
2965,87.0912,5,0.10000000000000005,309.39905677400026,134.0863505750001,175.3127061990001,2.2737367544323207e-14,134.0863505750001,0.0,175.9887067780001,-0.6760005789999974,523.7229956836429,4.609094421494914,-0.4069450574024561,-0.7886276208527224,2859.221953012359,0.25220290545367946,0.7477970945463206,1046.6631,33.63798,32.072500000000005
2969,104.7816,3,0.12040000000000006,374.1155799250001,194.78578677166675,179.32979315333333,9.473903143468002e-15,194.78578677166675,0.0,179.32979315333333,0.0,554.7959760807206,4.166079876252866,-0.21420531004500798,-0.8453053505613405,2357.413762768448,0.5047138047138048,0.49528619528619533,981.6663666666667,30.54393333333333,30.20586666666667
2979,101.6064,5,0.12110000000000003,380.526562838,198.05956208100002,182.467000757,-2.2737367544323207e-14,198.05956208100002,0.0,184.756378008,-2.289377250999993,555.61159770074,4.686564090939083,-0.6303235892795696,0.07422168505990637,3219.390390249916,0.43782945736434103,0.5621705426356589,989.8803599999999,39.33672,39.1471
2981,85.7304,4,0.10347500000000004,303.27818705125014,129.29149404875008,173.98669300250006,1.4210854715202004e-14,129.29149404875008,0.0,173.99581582250008,-0.009122820000000443,536.143791250822,4.5463568944267365,-0.31834833790815154,-0.7499748877148706,2536.3047177452772,0.48187415654520915,0.5181258434547908,1034.449475,34.63695,32.172625
2989,83.916,5,0.10444,282.7834430870001,128.48958354500004,154.293859542,5.684341886080802e-15,128.48958354500004,0.0,154.293859542,0.0,456.8265830247077,4.434067768584656,-0.08747539168697799,-0.48915827001492546,1925.058435721857,0.5424835477467057,0.4575164522532944,996.927,23.93002,23.54512
2990,83.0088,4,0.11457500000000001,288.826202,140.5529904875,148.27321151249998,2.842170943040401e-14,140.5529904875,0.0,149.05035033874998,-0.7771388262499991,464.2042231029865,4.083990898573444,-0.3155844013021844,-0.4027171654186146,2094.5223942358425,0.4912770236299648,0.5087229763700352,1031.429625,31.572074999999998,28.65365
2993,97.0704,4,0.11247499999999999,407.8304793187501,158.98397147875005,248.84650784000002,1.4210854715202004e-14,158.98397147875005,0.0,248.85620424,-0.0096963999999997,572.6484802874029,4.988693769994216,-0.496210505448141,-0.6804021308065107,3848.0247981880307,0.47384559884559885,0.5261544011544012,984.060975,36.83355,34.458825
2996,103.8744,4,0.09792499999999993,367.9901152637499,182.9531321299999,185.03698313374997,3.552713678800501e-14,182.9531321299999,0.0,187.59078834749997,-2.5538052137499805,667.5231812014275,3.9716227045694645,-0.3463924130534759,-0.22087259737521964,2893.9854563288054,0.45115629984051037,0.5488437001594897,1035.8687,43.7227,40.508575
